,Date,Inflation Value (1984=100),Monthly Change (%)
0,2013-02,232.166,0.8
1,2013-03,232.773,0.3
2,2013-04,232.531,-0.1
3,2013-05,232.945,0.2
4,2013-06,233.504,0.2
5,2013-07,233.596,0.0
6,2013-08,233.877,0.1
7,2013-09,234.149,0.1
8,2013-10,233.546,-0.3
9,2013-11,233.069,-0.2
10,2013-12,233.049,0.0
11,2014-01,233.916,0.4
12,2014-02,234.781,0.4
13,2014-03,236.293,0.6
14,2014-04,237.072,0.3
15,2014-05,237.900,0.3
16,2014-06,238.343,0.2
17,2014-07,238.250,0.0
18,2014-08,237.852,-0.2
19,2014-09,238.031,0.1
20,2014-10,237.433,-0.3
21,2014-11,236.151,-0.5
22,2014-12,234.812,-0.6
23,2015-01,233.707,-0.5
24,2015-02,234.722,0.4
25,2015-03,236.119,0.6
26,2015-04,236.599,0.2
27,2015-05,237.805,0.5
28,2015-06,238.638,0.4
29,2015-07,238.654,0.0
30,2015-08,238.316,-0.1
31,2015-09,237.945,-0.2
32,2015-10,237.838,0.0
33,2015-11,237.336,-0.2
34,2015-12,236.525,-0.3
35,2016-01,236.916,0.2
36,2016-02,237.111,0.1
37,2016-03,238.132,0.4
38,2016-04,239.261,0.5
39,2016-05,240.229,0.4
40,2016-06,241.018,0.3
41,2016-07,240.628,-0.2
42,2016-08,240.849,0.1
43,2016-09,241.428,0.2
44,2016-10,241.729,0.1
45,2016-11,241.353,-0.2
46,2016-12,241.432,0.0
47,2017-01,242.839,0.6
48,2017-02,243.603,0.3
49,2017-03,243.801,0.1
50,2017-04,244.524,0.3
51,2017-05,244.733,0.1
52,2017-06,244.955,0.1
53,2017-07,244.786,-0.1
54,2017-08,245.519,0.3
55,2017-09,246.819,0.5
56,2017-10,246.663,-0.1
57,2017-11,246.669,0.0
58,2017-12,246.524,-0.1
59,2018-01,247.867,0.5
60,2018-02,248.991,0.5
61,2018-03,249.554,0.2
62,2018-04,250.546,0.4
63,2018-05,251.588,0.4
64,2018-06,251.989,0.2
65,2018-07,252.006,0.0
66,2018-08,252.146,0.1
67,2018-09,252.439,0.1
68,2018-10,252.885,0.2
69,2018-11,252.038,-0.3
70,2018-12,251.233,-0.3
71,2019-01,251.712,0.2
72,2019-02,252.776,0.4
73,2019-03,254.202,0.6
74,2019-04,255.548,0.5
75,2019-05,256.092,0.2
76,2019-06,256.143,0.0
77,2019-07,256.571,0.2
78,2019-08,256.558,0.0
79,2019-09,256.759,0.1
80,2019-10,257.346,0.2
81,2019-11,257.208,-0.1
82,2019-12,256.974,-0.1
83,2020-01,257.971,0.4
84,2020-02,258.678,0.3
85,2020-03,258.115,-0.2
86,2020-04,256.389,-0.7
87,2020-05,256.394,0.0
88,2020-06,257.797,0.5
89,2020-07,259.101,0.5
90,2020-08,259.918,0.3
91,2020-09,260.280,0.1
92,2020-10,260.388,0.0
93,2020-11,260.229,-0.1
94,2020-12,260.474,0.1
